data_id,station_code,timestamp,utc_offset,logger_serial,wtmp,wtmp_flag
350.0,01FW006,2026-04-25 13:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 13:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 14:00:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-25 14:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 14:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 14:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 15:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 15:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 15:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 15:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 16:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-25 16:15:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-25 16:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-25 16:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-25 17:00:00,0.0,21731724,0.019,P
350.0,01FW006,2026-04-25 17:15:00,0.0,21731724,0.04,P
350.0,01FW006,2026-04-25 17:30:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-25 17:45:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-25 18:00:00,0.0,21731724,0.094,P
350.0,01FW006,2026-04-25 18:15:00,0.0,21731724,0.115,P
350.0,01FW006,2026-04-25 18:30:00,0.0,21731724,0.137,P
350.0,01FW006,2026-04-25 18:45:00,0.0,21731724,0.137,P
350.0,01FW006,2026-04-25 19:00:00,0.0,21731724,0.126,P
350.0,01FW006,2026-04-25 19:15:00,0.0,21731724,0.158,P
350.0,01FW006,2026-04-25 19:30:00,0.0,21731724,0.19,P
350.0,01FW006,2026-04-25 19:45:00,0.0,21731724,0.212,P
350.0,01FW006,2026-04-25 20:00:00,0.0,21731724,0.233,P
350.0,01FW006,2026-04-25 20:15:00,0.0,21731724,0.255,P
350.0,01FW006,2026-04-25 20:30:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-25 20:45:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-25 21:00:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-25 21:15:00,0.0,21731724,0.276,P
350.0,01FW006,2026-04-25 21:30:00,0.0,21731724,0.244,P
350.0,01FW006,2026-04-25 21:45:00,0.0,21731724,0.265,P
350.0,01FW006,2026-04-25 22:00:00,0.0,21731724,0.308,P
350.0,01FW006,2026-04-25 22:15:00,0.0,21731724,0.33,P
350.0,01FW006,2026-04-25 22:30:00,0.0,21731724,0.33,P
350.0,01FW006,2026-04-25 22:45:00,0.0,21731724,0.373,P
350.0,01FW006,2026-04-25 23:00:00,0.0,21731724,0.34,P
350.0,01FW006,2026-04-25 23:15:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-25 23:30:00,0.0,21731724,0.308,P
350.0,01FW006,2026-04-25 23:45:00,0.0,21731724,0.298,P
350.0,01FW006,2026-04-26 00:00:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-26 00:15:00,0.0,21731724,0.244,P
350.0,01FW006,2026-04-26 00:30:00,0.0,21731724,0.19,P
350.0,01FW006,2026-04-26 00:45:00,0.0,21731724,0.126,P
350.0,01FW006,2026-04-26 01:00:00,0.0,21731724,0.094,P
350.0,01FW006,2026-04-26 01:15:00,0.0,21731724,0.072,P
350.0,01FW006,2026-04-26 01:30:00,0.0,21731724,0.072,P
350.0,01FW006,2026-04-26 01:45:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-26 02:00:00,0.0,21731724,0.072,P
350.0,01FW006,2026-04-26 02:15:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-26 02:30:00,0.0,21731724,0.051,P
350.0,01FW006,2026-04-26 02:45:00,0.0,21731724,0.029,P
350.0,01FW006,2026-04-26 03:00:00,0.0,21731724,0.029,P
350.0,01FW006,2026-04-26 03:15:00,0.0,21731724,0.019,P
350.0,01FW006,2026-04-26 03:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 03:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 04:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 04:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 04:30:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 04:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 05:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 05:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 05:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 05:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 06:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 06:15:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 06:30:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 06:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 07:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 07:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 07:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 07:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 08:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 08:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 08:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 08:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 09:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 09:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 09:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 09:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 10:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 10:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 10:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 10:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 11:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 11:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 11:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 11:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 12:00:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 12:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 12:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 12:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 13:00:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 13:15:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 13:30:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 13:45:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-26 14:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 14:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 14:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 14:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-26 15:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 15:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-26 15:30:00,0.0,21731724,0.019,P
350.0,01FW006,2026-04-26 15:45:00,0.0,21731724,0.029,P
350.0,01FW006,2026-04-26 16:00:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-26 16:15:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-26 16:30:00,0.0,21731724,0.094,P
350.0,01FW006,2026-04-26 16:45:00,0.0,21731724,0.115,P
350.0,01FW006,2026-04-26 17:00:00,0.0,21731724,0.147,P
350.0,01FW006,2026-04-26 17:15:00,0.0,21731724,0.18,P
350.0,01FW006,2026-04-26 17:30:00,0.0,21731724,0.201,P
350.0,01FW006,2026-04-26 17:45:00,0.0,21731724,0.244,P
350.0,01FW006,2026-04-26 18:00:00,0.0,21731724,0.276,P
350.0,01FW006,2026-04-26 18:15:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-26 18:30:00,0.0,21731724,0.33,P
350.0,01FW006,2026-04-26 18:45:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-26 19:00:00,0.0,21731724,0.383,P
350.0,01FW006,2026-04-26 19:15:00,0.0,21731724,0.416,P
350.0,01FW006,2026-04-26 19:30:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-26 19:45:00,0.0,21731724,0.448,P
350.0,01FW006,2026-04-26 20:00:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-26 20:15:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-26 20:30:00,0.0,21731724,0.501,P
350.0,01FW006,2026-04-26 20:45:00,0.0,21731724,0.523,P
350.0,01FW006,2026-04-26 21:00:00,0.0,21731724,0.544,P
350.0,01FW006,2026-04-26 21:15:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-26 21:30:00,0.0,21731724,0.566,P
350.0,01FW006,2026-04-26 21:45:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-26 22:00:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-26 22:15:00,0.0,21731724,0.576,P
350.0,01FW006,2026-04-26 22:30:00,0.0,21731724,0.598,P
350.0,01FW006,2026-04-26 22:45:00,0.0,21731724,0.576,P
350.0,01FW006,2026-04-26 23:00:00,0.0,21731724,0.544,P
350.0,01FW006,2026-04-26 23:15:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-26 23:30:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-26 23:45:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-27 00:00:00,0.0,21731724,0.383,P
350.0,01FW006,2026-04-27 00:15:00,0.0,21731724,0.33,P
350.0,01FW006,2026-04-27 00:30:00,0.0,21731724,0.308,P
350.0,01FW006,2026-04-27 00:45:00,0.0,21731724,0.201,P
350.0,01FW006,2026-04-27 01:00:00,0.0,21731724,0.18,P
350.0,01FW006,2026-04-27 01:15:00,0.0,21731724,0.147,P
350.0,01FW006,2026-04-27 01:30:00,0.0,21731724,0.115,P
350.0,01FW006,2026-04-27 01:45:00,0.0,21731724,0.04,P
350.0,01FW006,2026-04-27 02:00:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-27 02:15:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-27 02:30:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-27 02:45:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-27 03:00:00,0.0,21731724,0.04,P
350.0,01FW006,2026-04-27 03:15:00,0.0,21731724,0.029,P
350.0,01FW006,2026-04-27 03:30:00,0.0,21731724,0.029,P
350.0,01FW006,2026-04-27 03:45:00,0.0,21731724,0.019,P
350.0,01FW006,2026-04-27 04:00:00,0.0,21731724,0.008,P
350.0,01FW006,2026-04-27 04:15:00,0.0,21731724,0.008,P
350.0,01FW006,2026-04-27 04:30:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 04:45:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 05:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 05:15:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 05:30:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-27 05:45:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-27 06:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 06:15:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-27 06:30:00,0.0,21731724,-0.013,B
350.0,01FW006,2026-04-27 06:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 07:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 07:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 07:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 07:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 08:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 08:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 08:30:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 08:45:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 09:00:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 09:15:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 09:30:00,0.0,21731724,-0.046,B
350.0,01FW006,2026-04-27 09:45:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 10:00:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 10:15:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 10:30:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 10:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 11:00:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 11:15:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 11:30:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 11:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 12:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 12:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 12:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 12:45:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 13:00:00,0.0,21731724,-0.035,B
350.0,01FW006,2026-04-27 13:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 13:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 13:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 14:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 14:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 14:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 14:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 15:00:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 15:15:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 15:30:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 15:45:00,0.0,21731724,-0.024,B
350.0,01FW006,2026-04-27 16:00:00,0.0,21731724,-0.003,B
350.0,01FW006,2026-04-27 16:15:00,0.0,21731724,0.051,P
350.0,01FW006,2026-04-27 16:30:00,0.0,21731724,0.104,P
350.0,01FW006,2026-04-27 16:45:00,0.0,21731724,0.147,P
350.0,01FW006,2026-04-27 17:00:00,0.0,21731724,0.18,P
350.0,01FW006,2026-04-27 17:15:00,0.0,21731724,0.222,P
350.0,01FW006,2026-04-27 17:30:00,0.0,21731724,0.265,P
350.0,01FW006,2026-04-27 17:45:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-27 18:00:00,0.0,21731724,0.308,P
350.0,01FW006,2026-04-27 18:15:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-27 18:30:00,0.0,21731724,0.394,P
350.0,01FW006,2026-04-27 18:45:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-27 19:00:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-27 19:15:00,0.0,21731724,0.523,P
350.0,01FW006,2026-04-27 19:30:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-27 19:45:00,0.0,21731724,0.576,P
350.0,01FW006,2026-04-27 20:00:00,0.0,21731724,0.609,P
350.0,01FW006,2026-04-27 20:15:00,0.0,21731724,0.63,P
350.0,01FW006,2026-04-27 20:30:00,0.0,21731724,0.662,P
350.0,01FW006,2026-04-27 20:45:00,0.0,21731724,0.727,P
350.0,01FW006,2026-04-27 21:00:00,0.0,21731724,0.684,P
350.0,01FW006,2026-04-27 21:15:00,0.0,21731724,0.598,P
350.0,01FW006,2026-04-27 21:30:00,0.0,21731724,0.609,P
350.0,01FW006,2026-04-27 21:45:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-27 22:00:00,0.0,21731724,0.63,P
350.0,01FW006,2026-04-27 22:15:00,0.0,21731724,0.662,P
350.0,01FW006,2026-04-27 22:30:00,0.0,21731724,0.63,P
350.0,01FW006,2026-04-27 22:45:00,0.0,21731724,0.609,P
350.0,01FW006,2026-04-27 23:00:00,0.0,21731724,0.619,P
350.0,01FW006,2026-04-27 23:15:00,0.0,21731724,0.609,P
350.0,01FW006,2026-04-27 23:30:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-27 23:45:00,0.0,21731724,0.533,P
350.0,01FW006,2026-04-28 00:00:00,0.0,21731724,0.533,P
350.0,01FW006,2026-04-28 00:15:00,0.0,21731724,0.566,P
350.0,01FW006,2026-04-28 00:30:00,0.0,21731724,0.555,P
350.0,01FW006,2026-04-28 00:45:00,0.0,21731724,0.544,P
350.0,01FW006,2026-04-28 01:00:00,0.0,21731724,0.501,P
350.0,01FW006,2026-04-28 01:15:00,0.0,21731724,0.48,P
350.0,01FW006,2026-04-28 01:30:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 01:45:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-28 02:00:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-28 02:15:00,0.0,21731724,0.416,P
350.0,01FW006,2026-04-28 02:30:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-28 02:45:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 03:00:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 03:15:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 03:30:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-28 03:45:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-28 04:00:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 04:15:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-28 04:30:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-28 04:45:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-28 05:00:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-28 05:15:00,0.0,21731724,0.501,P
350.0,01FW006,2026-04-28 05:30:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-28 05:45:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-28 06:00:00,0.0,21731724,0.469,P
350.0,01FW006,2026-04-28 06:15:00,0.0,21731724,0.458,P
350.0,01FW006,2026-04-28 06:30:00,0.0,21731724,0.448,P
350.0,01FW006,2026-04-28 06:45:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-28 07:00:00,0.0,21731724,0.437,P
350.0,01FW006,2026-04-28 07:15:00,0.0,21731724,0.426,P
350.0,01FW006,2026-04-28 07:30:00,0.0,21731724,0.405,P
350.0,01FW006,2026-04-28 07:45:00,0.0,21731724,0.383,P
350.0,01FW006,2026-04-28 08:00:00,0.0,21731724,0.373,P
350.0,01FW006,2026-04-28 08:15:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-28 08:30:00,0.0,21731724,0.33,P
350.0,01FW006,2026-04-28 08:45:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-28 09:00:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-28 09:15:00,0.0,21731724,0.298,P
350.0,01FW006,2026-04-28 09:30:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-28 09:45:00,0.0,21731724,0.276,P
350.0,01FW006,2026-04-28 10:00:00,0.0,21731724,0.265,P
350.0,01FW006,2026-04-28 10:15:00,0.0,21731724,0.265,P
350.0,01FW006,2026-04-28 10:30:00,0.0,21731724,0.255,P
350.0,01FW006,2026-04-28 10:45:00,0.0,21731724,0.233,P
350.0,01FW006,2026-04-28 11:00:00,0.0,21731724,0.222,P
350.0,01FW006,2026-04-28 11:15:00,0.0,21731724,0.201,P
350.0,01FW006,2026-04-28 11:30:00,0.0,21731724,0.18,P
350.0,01FW006,2026-04-28 11:45:00,0.0,21731724,0.158,P
350.0,01FW006,2026-04-28 12:00:00,0.0,21731724,0.137,P
350.0,01FW006,2026-04-28 12:15:00,0.0,21731724,0.115,P
350.0,01FW006,2026-04-28 12:30:00,0.0,21731724,0.115,P
350.0,01FW006,2026-04-28 12:45:00,0.0,21731724,0.094,P
350.0,01FW006,2026-04-28 13:00:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-28 13:15:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-28 13:30:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-28 13:45:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-28 14:00:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-28 14:15:00,0.0,21731724,0.051,P
350.0,01FW006,2026-04-28 14:30:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-28 14:45:00,0.0,21731724,0.062,P
350.0,01FW006,2026-04-28 15:00:00,0.0,21731724,0.083,P
350.0,01FW006,2026-04-28 15:15:00,0.0,21731724,0.104,P
350.0,01FW006,2026-04-28 15:30:00,0.0,21731724,0.137,P
350.0,01FW006,2026-04-28 15:45:00,0.0,21731724,0.169,P
350.0,01FW006,2026-04-28 16:00:00,0.0,21731724,0.201,P
350.0,01FW006,2026-04-28 16:15:00,0.0,21731724,0.233,P
350.0,01FW006,2026-04-28 16:30:00,0.0,21731724,0.287,P
350.0,01FW006,2026-04-28 16:45:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-28 17:00:00,0.0,21731724,0.405,P
350.0,01FW006,2026-04-28 17:15:00,0.0,21731724,0.48,P
350.0,01FW006,2026-04-28 17:30:00,0.0,21731724,0.491,P
350.0,01FW006,2026-04-28 17:45:00,0.0,21731724,0.587,P
350.0,01FW006,2026-04-28 18:00:00,0.0,21731724,0.684,P
350.0,01FW006,2026-04-28 18:15:00,0.0,21731724,0.769,P
350.0,01FW006,2026-04-28 18:30:00,0.0,21731724,0.834,P
350.0,01FW006,2026-04-28 18:45:00,0.0,21731724,0.898,P
350.0,01FW006,2026-04-28 19:00:00,0.0,21731724,0.984,P
350.0,01FW006,2026-04-28 19:15:00,0.0,21731724,1.07,P
350.0,01FW006,2026-04-28 19:30:00,0.0,21731724,1.156,P
350.0,01FW006,2026-04-28 19:45:00,0.0,21731724,1.252,P
350.0,01FW006,2026-04-28 20:00:00,0.0,21731724,1.349,P
350.0,01FW006,2026-04-28 20:15:00,0.0,21731724,1.445,P
350.0,01FW006,2026-04-28 20:30:00,0.0,21731724,1.531,P
350.0,01FW006,2026-04-28 20:45:00,0.0,21731724,1.595,P
350.0,01FW006,2026-04-28 21:00:00,0.0,21731724,1.713,P
350.0,01FW006,2026-04-28 21:15:00,0.0,21731724,1.799,P
350.0,01FW006,2026-04-28 21:30:00,0.0,21731724,1.896,P
350.0,01FW006,2026-04-28 21:45:00,0.0,21731724,2.003,P
350.0,01FW006,2026-04-28 22:00:00,0.0,21731724,2.067,P
350.0,01FW006,2026-04-28 22:15:00,0.0,21731724,2.078,P
350.0,01FW006,2026-04-28 22:30:00,0.0,21731724,2.089,P
350.0,01FW006,2026-04-28 22:45:00,0.0,21731724,2.153,P
350.0,01FW006,2026-04-28 23:00:00,0.0,21731724,2.196,P
350.0,01FW006,2026-04-28 23:15:00,0.0,21731724,2.249,P
350.0,01FW006,2026-04-28 23:30:00,0.0,21731724,2.271,P
350.0,01FW006,2026-04-28 23:45:00,0.0,21731724,2.314,P
350.0,01FW006,2026-04-29 00:00:00,0.0,21731724,2.314,P
350.0,01FW006,2026-04-29 00:15:00,0.0,21731724,2.303,P
350.0,01FW006,2026-04-29 00:30:00,0.0,21731724,2.314,P
350.0,01FW006,2026-04-29 00:45:00,0.0,21731724,2.303,P
350.0,01FW006,2026-04-29 01:00:00,0.0,21731724,2.282,P
350.0,01FW006,2026-04-29 01:15:00,0.0,21731724,2.26,P
350.0,01FW006,2026-04-29 01:30:00,0.0,21731724,2.185,P
350.0,01FW006,2026-04-29 01:45:00,0.0,21731724,2.132,P
350.0,01FW006,2026-04-29 02:00:00,0.0,21731724,2.089,P
350.0,01FW006,2026-04-29 02:15:00,0.0,21731724,2.035,P
350.0,01FW006,2026-04-29 02:30:00,0.0,21731724,1.981,P
350.0,01FW006,2026-04-29 02:45:00,0.0,21731724,1.928,P
350.0,01FW006,2026-04-29 03:00:00,0.0,21731724,1.874,P
350.0,01FW006,2026-04-29 03:15:00,0.0,21731724,1.82,P
350.0,01FW006,2026-04-29 03:30:00,0.0,21731724,1.788,P
350.0,01FW006,2026-04-29 03:45:00,0.0,21731724,1.724,P
350.0,01FW006,2026-04-29 04:00:00,0.0,21731724,1.67,P
350.0,01FW006,2026-04-29 04:15:00,0.0,21731724,1.638,P
350.0,01FW006,2026-04-29 04:30:00,0.0,21731724,1.595,P
350.0,01FW006,2026-04-29 04:45:00,0.0,21731724,1.552,P
350.0,01FW006,2026-04-29 05:00:00,0.0,21731724,1.509,P
350.0,01FW006,2026-04-29 05:15:00,0.0,21731724,1.456,P
350.0,01FW006,2026-04-29 05:30:00,0.0,21731724,1.413,P
350.0,01FW006,2026-04-29 05:45:00,0.0,21731724,1.381,P
350.0,01FW006,2026-04-29 06:00:00,0.0,21731724,1.327,P
350.0,01FW006,2026-04-29 06:15:00,0.0,21731724,1.274,P
350.0,01FW006,2026-04-29 06:30:00,0.0,21731724,1.231,P
350.0,01FW006,2026-04-29 06:45:00,0.0,21731724,1.177,P
350.0,01FW006,2026-04-29 07:00:00,0.0,21731724,1.123,P
350.0,01FW006,2026-04-29 07:15:00,0.0,21731724,1.07,P
350.0,01FW006,2026-04-29 07:30:00,0.0,21731724,1.027,P
350.0,01FW006,2026-04-29 07:45:00,0.0,21731724,0.984,P
350.0,01FW006,2026-04-29 08:00:00,0.0,21731724,0.93,P
350.0,01FW006,2026-04-29 08:15:00,0.0,21731724,0.877,P
350.0,01FW006,2026-04-29 08:30:00,0.0,21731724,0.823,P
350.0,01FW006,2026-04-29 08:45:00,0.0,21731724,0.769,P
350.0,01FW006,2026-04-29 09:00:00,0.0,21731724,0.716,P
350.0,01FW006,2026-04-29 09:15:00,0.0,21731724,0.662,P
350.0,01FW006,2026-04-29 09:30:00,0.0,21731724,0.609,P
350.0,01FW006,2026-04-29 09:45:00,0.0,21731724,0.576,P
350.0,01FW006,2026-04-29 10:00:00,0.0,21731724,0.523,P
350.0,01FW006,2026-04-29 10:15:00,0.0,21731724,0.48,P
350.0,01FW006,2026-04-29 10:30:00,0.0,21731724,0.448,P
350.0,01FW006,2026-04-29 10:45:00,0.0,21731724,0.405,P
350.0,01FW006,2026-04-29 11:00:00,0.0,21731724,0.373,P
350.0,01FW006,2026-04-29 11:15:00,0.0,21731724,0.351,P
350.0,01FW006,2026-04-29 11:30:00,0.0,21731724,0.319,P
350.0,01FW006,2026-04-29 11:45:00,0.0,21731724,0.298,P
350.0,01FW006,2026-04-29 12:00:00,0.0,21731724,0.265,P
350.0,01FW006,2026-04-29 12:15:00,0.0,21731724,0.244,P
350.0,01FW006,2026-04-29 12:30:00,0.0,21731724,0.212,P
350.0,01FW006,2026-04-29 12:45:00,0.0,21731724,0.201,P
350.0,01FW006,2026-04-29 13:00:00,0.0,21731724,0.18,P
350.0,01FW006,2026-04-29 13:15:00,0.0,21731724,0.158,P
